location	product_ean	store_name	code
Europe/Copenhagen	0242358436944	Frederiksberg	DK
America/Argentina/Buenos_Aires	9966654055586	Barracas	AR
Europe/Belgrade	1092068554792	Glogovac	XK
America/New_York	6318572216007	Rutland	US
Asia/Baku	1761626760738	Qazax	AZ
Africa/Douala	6234716985526	Mbalmayo	CM
America/Sao_Paulo	8662199032129	Resplendor	BR
Europe/Samara	6754898087431	Otradnyy	RU
Asia/Bangkok	9931873384816	Yasothon	TH
Africa/Kinshasa	6503177813045	Kasangulu	CD
America/Recife	1497184096803	Catende	BR
America/Cuiaba	2485496969334	Nova Xavantina	BR
Europe/Amsterdam	5655194791262	Tongelre	NL
America/Lima	2933321272222	Iquitos	PE
Europe/Berlin	7393962924105	Stuttgart	DE
Asia/Yekaterinburg	5097377353988	Tavda	RU
Asia/Bangkok	4177431244733	Roi Et	TH
Africa/Algiers	5613585919534	Boumerdas	DZ
Asia/Yekaterinburg	8161590920542	Lesnoy	RU
America/Chicago	2808202236702	Westchester	US
Africa/Lubumbashi	4310637631659	Beni	CD
Asia/Kolkata	2891210732748	Pune	IN
Asia/Almaty	5133249111581	Zaysan	KZ
Asia/Shanghai	3818977444577	Danjiangkou	CN
America/Edmonton	5525999841854	Sherwood Park	CA
America/Chicago	9991080222868	Kaukauna	US
Europe/Amsterdam	4733748258100	Tongelre	NL
Europe/Vilnius	1825481417142	Alytus	LT
America/Guatemala	1132273394711	Chichicastenango	GT
America/New_York	0169802068974	Brighton Beach	US
America/Lima	2510500447802	Yunguyo	PE
America/Santiago	7648919376781	Ovalle	CL
America/Chicago	6155210756958	Odessa	US
America/Indiana/Indianapolis	3272661490873	Greenfield	US
Europe/Istanbul	6761414918537	Gaziantep	TR
America/Chicago	9144956594310	Rolla	US
Asia/Tehran	9529266982239	Darreh Shahr	IR
Europe/Moscow	0233234590812	Kashira	RU
Africa/Algiers	5049684582889	Messaad	DZ
Asia/Dushanbe	6306318931451	Vahdat	TJ
Asia/Yakutsk	6304946033974	Aykhal	RU
Atlantic/Azores	7195993903643	Ponta Delgada	PT
Europe/Rome	1719410690198	Ragusa	IT
America/Argentina/Buenos_Aires	5623510429298	Tandil	AR
Europe/Paris	6023389034552	Marly-le-Roi	FR
Asia/Vladivostok	7062128394167	Lesozavodsk	RU
Asia/Kolkata	9812030685444	Tiruppuvanam	IN
America/New_York	4232949537255	Norwalk	US
America/New_York	1251452878665	Brunswick	US
Europe/Berlin	4384781008049	Verl	DE
Asia/Makassar	0122916884908	Majene	ID
America/Bahia	3372081422666	Canavieiras	BR
Australia/Sydney	8070129733716	Strathfield	AU
Europe/Berlin	8257571506307	Losheim	DE
Europe/Berlin	5286653591132	Pfullingen	DE
America/Bogota	7416114661762	El Copey	CO
Africa/Brazzaville	6487493790290	Brazzaville	CG
Europe/London	3025461525944	Arbroath	GB
Europe/Berlin	7036431005126	Friedberg	DE
Europe/Berlin	0099681296437	Finnentrop	DE
Asia/Aden	6294239435557	Ataq	YE
Asia/Yekaterinburg	7300910735478	Oktyabr’skiy	RU
America/Bogota	1468677427220	Socorro	CO
Europe/Berlin	9336230898980	Rudolstadt	DE
Asia/Jakarta	9491675936427	Pekanbaru	ID
America/Chicago	1752749977288	Ada	US
Europe/Paris	2918280043151	Arles	FR
Europe/London	7292280141327	Devizes	GB
America/Los_Angeles	5984381672795	Indio	US
Europe/Berlin	5457788805481	Aschaffenburg	DE
Europe/Rome	1508905924616	Ariccia	IT
Europe/Madrid	3076089129816	Amposta	ES
Europe/Moscow	6818827335205	Nizhniy Lomov	RU
Asia/Manila	5212677853697	Tupi	PH
Europe/Berlin	7660304775764	Eppingen	DE
Europe/Minsk	6489853856714	Vitebsk	BY
Europe/Berlin	6040053039859	Dahlem	DE
Europe/Kiev	3044845531388	Zvenihorodka	UA
Europe/Moscow	1895169028977	Yeysk	RU
Europe/Berlin	8600756768265	Weimar	DE
America/Port-au-Prince	9038540616833	Croix-des-Bouquets	HT
Asia/Kolkata	6922835490235	Srinagar	IN
Europe/Amsterdam	8994837562522	Emmeloord	NL
Europe/Helsinki	8315184882079	Espoo	FI
America/Toronto	3022982049386	Pointe-Claire	CA
Asia/Tokyo	7657306118279	Fujioka	JP
Europe/London	6891423353149	Lower Earley	GB
America/Sao_Paulo	9011846356740	Itabirito	BR
America/Caracas	1791762635355	Barinas	VE
Asia/Kolkata	9041570067315	Adra	IN
Europe/Berlin	1703129813221	Stade	DE
Asia/Shanghai	4701391151635	Heyuan	CN
Asia/Manila	2827301596760	Santa Catalina	PH
Asia/Kolkata	4864696833399	Jais	IN
Africa/Kampala	4400542041503	Kitgum	UG
Asia/Yangon	0052452943466	Kyaikto	MM
Asia/Manila	3380070125351	Guyong	PH
Asia/Kolkata	4651233404392	Srinagar	IN
America/New_York	7987553045777	Kensington	US
Asia/Shanghai	7477544555113	Zhoucun	CN
Asia/Kolkata	3905565641644	Gariadhar	IN
America/Sao_Paulo	3564484902450	Guapimirim	BR
America/Toronto	2633565648219	Beaconsfield	CA
America/Sao_Paulo	2303634941748	Viradouro	BR
Europe/Paris	6275003564512	Elbeuf	FR
Africa/Mogadishu	8566671442942	Kismayo	SO
Asia/Vladivostok	9609534814803	Lesozavodsk	RU
America/Puerto_Rico	1257937853417	Aguadilla	PR
America/Sao_Paulo	4785563962618	Itabirito	BR
Europe/Rome	2386301182996	Francavilla Fontana	IT
America/Chicago	9253036448570	Pekin	US
Asia/Kolkata	0019380765713	Kalavoor	IN
Asia/Shanghai	7643790743905	Nanpiao	CN
Europe/London	1651075787731	Rutherglen	GB
Asia/Yangon	9966526667800	Kyaikto	MM
Africa/Dar_es_Salaam	7588652008023	Mvomero	TZ
America/New_York	6103051233572	Middle River	US
America/Costa_Rica	2706569755686	Liberia	CR
Europe/London	8613814050851	Rutherglen	GB
America/Havana	3055177947853	Corralillo	CU
Europe/Warsaw	1670158931557	Jaworzno	PL
America/New_York	7354235770188	East Haven	US
Australia/Perth	6911994217159	Perth	AU
Europe/Warsaw	0470863497987	Jaworzno	PL
Asia/Karachi	0604709663889	Kanganpur	PK
America/Los_Angeles	4230400871504	American Canyon	US
Asia/Jakarta	5745966362131	Ngemplak	ID
Europe/Paris	6008062837668	Ajaccio	FR
Europe/Madrid	4602889096875	San Juan de Aznalfarache	ES
Europe/Paris	4922160059857	Mitry-Mory	FR
Asia/Tehran	7104703457642	Shahre Jadide Andisheh	IR
Europe/Rome	6914420587567	Francavilla Fontana	IT
Asia/Manila	6638999244460	Calauan	PH
Europe/Madrid	2608887158890	Gernika-Lumo	ES
Europe/Rome	4266365565295	Ventimiglia	IT
Asia/Kolkata	4186789460351	Gorakhpur	IN
Europe/Stockholm	3852969912460	Hudiksvall	SE
Asia/Manila	6888102175116	Naga	PH
Asia/Kolkata	8864770834829	Betamcherla	IN
Australia/Perth	2877989269043	Willetton	AU
America/Havana	5946001358298	Varadero	CU
Asia/Jakarta	6477366821213	Jambi City	ID
America/Fortaleza	5344570470487	Pedro II	BR
Asia/Tokyo	1787481830355	Shinshiro	JP
Asia/Shanghai	6042382571291	Taozhuang	CN
Europe/Madrid	3713794996578	Novelda	ES
Asia/Shanghai	7282652985161	Hengshui	CN
Europe/London	0774438734379	Cowes	GB
Asia/Manila	6237676510036	Talisay	PH
Asia/Kolkata	1146262950819	Bhuban	IN
Europe/Istanbul	7407002909820	Gaziantep	TR
Pacific/Honolulu	1174770669305	Kahului	US
America/New_York	3564618119143	Boston	US
America/Denver	4906762892500	Saratoga Springs	US
America/Los_Angeles	7586850962192	Encinitas	US
Europe/Rome	8159977391528	Sassari	IT
Europe/Madrid	4741344031256	San Fernando de Henares	ES
Asia/Yekaterinburg	3514578408412	Izluchinsk	RU
America/Santarem	6321174875466	Altamira	BR
America/Bogota	1758593634889	Buenaventura	CO
Africa/Djibouti	6009364215925	'Ali Sabieh	DJ
America/Los_Angeles	0639855207496	Indio	US
Europe/Moscow	5949738367328	Kashira	RU
Africa/Lagos	1323349529537	Kafanchan	NG
Europe/Bratislava	8713992570667	Hlohovec	SK
America/Los_Angeles	5913002773931	Aloha	US
Africa/Algiers	0077845166864	Ksar Chellala	DZ
Europe/Lisbon	5203542524972	Paredes	PT
Europe/Berlin	3690280741501	Hermsdorf	DE
Africa/Tunis	5700255881915	El Alia	TN
Europe/Paris	6156480485951	Mitry-Mory	FR
Asia/Tokyo	9870033347424	Sasayama	JP
Africa/Luanda	6876718928127	Luena	AO
Africa/Johannesburg	7074760730937	Mokopane	ZA
Europe/Berlin	4765724063729	Barmbek-Nord	DE
Asia/Bishkek	0265060502073	Jalal-Abad	KG
Asia/Kolkata	4766280738595	Rangia	IN
America/Chicago	7108429720110	Bourbonnais	US
Europe/Minsk	6821373378114	Novogrudok	BY
America/New_York	5211906074902	Bon Air	US
America/Chicago	1954913357265	Estelle	US
America/New_York	9914271056493	Fayetteville	US
Europe/Madrid	0729767791111	Segundo Ensanche	ES
Asia/Jakarta	5509186128522	Besuki	ID
America/Guayaquil	6168560506661	Milagro	EC
Europe/Prague	9733816862395	Karlovy Vary	CZ
America/Chicago	4251093273727	Schererville	US
Europe/Berlin	7595538429742	Hermsdorf	DE
America/New_York	8121340206043	Clermont	US
Europe/Warsaw	0538631756022	Brzeg	PL
Africa/Mogadishu	2191633468294	Kismayo	SO
Europe/Warsaw	1827656881925	Jaworzno	PL
America/Sao_Paulo	7073461147402	Buri	BR
Europe/Moscow	4298490813323	Gavrilov-Yam	RU
America/Sao_Paulo	4256304793247	Viradouro	BR
Africa/Algiers	8968676474971	Boumerdas	DZ
America/Havana	8918528215160	Boyeros	CU
Asia/Kolkata	9686356481079	Dharmapuri	IN
Indian/Reunion	9187159318802	Saint-Denis	RE
Asia/Kolkata	1540721783800	Kalavoor	IN
Africa/Algiers	1237098402792	Messaad	DZ
Asia/Kolkata	0727771042779	Gajendragarh	IN
Europe/Rome	4608053114444	Castelfranco Emilia	IT
Asia/Kolkata	8872317443168	Elamanchili	IN
Europe/London	0468204657725	Poulton-le-Fylde	GB
Asia/Shanghai	1394432643997	Beidao	CN
Europe/Kiev	8927036455043	Hlukhiv	UA
Asia/Manila	7212791964154	Burgos	PH
Asia/Shanghai	3101119866871	Hushitai	CN
America/Lima	2306702921918	Minas de Marcona	PE
Europe/Paris	1229566868445	Les Olives	FR
Europe/Prague	5056202956442	Karlovy Vary	CZ
Asia/Kolkata	9459241451323	Kangayam	IN
Europe/Rome	7415865393823	Afragola	IT
America/New_York	5900774125600	Harrisburg	US
Asia/Kolkata	3382986743544	Haldwani	IN
America/Guayaquil	3796866039397	Milagro	EC
America/Chicago	0659363548935	Searcy	US
Asia/Krasnoyarsk	8881674022732	Sharypovo	RU
Asia/Bangkok	0178561863744	Damnoen Saduak	TH
Europe/London	0314397591912	Mexborough	GB
Asia/Seoul	4323659611950	Nonsan	KR
America/Maceio	5150058131333	Lagarto	BR
Europe/Kiev	6837798356934	Artsyz	UA
Asia/Manila	9732229911201	Calauan	PH
Asia/Bangkok	4231585631600	Phanat Nikhom	TH
America/New_York	4488292371590	Harrisburg	US
America/Los_Angeles	0859797719684	Troutdale	US
Asia/Tokyo	7744287746550	Ueno-ebisumachi	JP
Europe/Belgrade	8789959516641	Glogovac	XK
Europe/Moscow	6586889425058	Kovylkino	RU
Asia/Kuala_Lumpur	2138222299211	Gua Musang	MY
Europe/Rome	0757946026808	Villabate	IT
America/Chicago	2938700772553	Tupelo	US
America/Los_Angeles	8326839406243	Encinitas	US
Europe/Paris	4458420713417	Herblay	FR
America/Caracas	2781541729756	Barinas	VE
Europe/Moscow	0187180192418	Valday	RU
Asia/Makassar	3405834917567	Balikpapan	ID
Asia/Bangkok	6606608786748	Kantharalak	TH
Africa/Lagos	7903763222371	Igbara-Odo	NG
America/New_York	5785743842289	Port Richmond	US
Europe/Moscow	0009416015172	Kovylkino	RU
Europe/Lisbon	2302545575745	Carnaxide	PT
America/Denver	1172722898407	Carlsbad	US
America/Chicago	6846123116051	Hueytown	US
Asia/Kolkata	8884466661348	Aistala	IN
America/Havana	5751964339525	Corralillo	CU
America/Sao_Paulo	0413942987580	Pato Branco	BR
America/Sao_Paulo	9173504219931	Soledade	BR
Europe/London	0596517140785	Mexborough	GB
Australia/Brisbane	6325545198277	Maryborough	AU
America/Los_Angeles	3835580464549	Camarillo	US
Europe/Paris	3059388751711	Valence	FR
America/Los_Angeles	8949211500195	Indio	US
Africa/Cairo	1562885458288	Alexandria	EG
Asia/Kolkata	1256522152669	Chharra	IN
Asia/Kolkata	1569322290180	Chharra	IN
Asia/Shanghai	8977912058783	Laiwu	CN
America/New_York	4220025023808	Middle River	US
Europe/Dublin	2357495872062	An Muileann gCearr	IE
Europe/Kiev	4204630956638	Voznesensk	UA
Europe/Rome	1646100102702	Falconara Marittima	IT
Asia/Dhaka	7141351665913	Manikchari	BD
America/Bogota	3213231063271	Buenaventura	CO
Africa/Kampala	6682078883514	Arua	UG
Europe/Berlin	5897071020502	Weimar	DE
Europe/Paris	2870604236437	Talence	FR
Asia/Shanghai	8788021463760	Dongfeng	CN
Asia/Kolkata	9201466656676	Sheoganj	IN
Europe/Rome	6106018202840	Tortona	IT
Africa/Kampala	5246274749879	Kitgum	UG
Africa/Windhoek	1245100520297	Okahandja	NA
America/Los_Angeles	0044114319672	North Tustin	US
Asia/Tokyo	4277284907424	Motomachi	JP
Asia/Kolkata	3721635833722	Diamond Harbour	IN
Europe/Berlin	2972221965636	Hechingen	DE
Asia/Yekaterinburg	6146760245283	Lesnoy	RU
Africa/Dar_es_Salaam	9149201507398	Iringa	TZ
Europe/Madrid	1295388028749	Baza	ES
Asia/Riyadh	7756525637445	Al Jubayl	SA
America/Denver	1584239433550	Aurora	US
Asia/Kuala_Lumpur	3328293742795	Ulu Tiram	MY
Asia/Kolkata	8689975478940	Narwar	IN
Asia/Kolkata	5378584995018	Supaul	IN
Europe/Berlin	6522622042687	Zeitz	DE
Asia/Kolkata	8278688899397	Rafiganj	IN
Africa/Maputo	2208262078937	Maxixe	MZ
Asia/Kolkata	8776328780277	Bhayandar	IN
Europe/Zurich	6255986863468	Onex	CH
Asia/Tokyo	7221281245208	Sasayama	JP
America/Boise	0624675593614	Nampa	US
Europe/Paris	9294295144803	Saint-Genis-Laval	FR
Asia/Tokyo	0602095593346	Toyokawa	JP
Asia/Seoul	5814227439278	Nonsan	KR
Asia/Yekaterinburg	6543176899428	Lesnoy	RU
Europe/Kiev	1576211165962	Lutsk	UA
Africa/Lubumbashi	8324330829776	Beni	CD
America/Chicago	2343848361260	Lino Lakes	US
America/Port-au-Prince	6902053763151	Croix-des-Bouquets	HT
Africa/Tripoli	8917205063223	Ajdabiya	LY
Europe/Warsaw	9166662285139	Jaworzno	PL
Asia/Shanghai	4728825517492	Heyuan	CN
Asia/Bangkok	0355422145298	Bang Ban	TH
Europe/Moscow	0683572392225	Dyat’kovo	RU
America/New_York	3452075179841	Palm Valley	US
Asia/Irkutsk	2795507907300	Ulan-Ude	RU
Europe/Samara	4173059560835	Otradnyy	RU
Asia/Jerusalem	2254137663814	Ramla	IL
Africa/Accra	2929595153497	Mampong	GH
Asia/Yekaterinburg	4586217289842	Beryozovsky	RU
America/Sao_Paulo	3880753699426	Resplendor	BR
Africa/Dar_es_Salaam	3424970739222	Mwandiga	TZ
Europe/Malta	9577490297346	Valletta	MT
Europe/Berlin	1197167034999	Bad Honnef	DE
America/Chicago	4503386773477	Independence	US
Africa/Brazzaville	2874616101158	Brazzaville	CG
America/Mazatlan	9630824923240	Acaponeta	MX
Europe/Madrid	7102102812116	Caravaca	ES
America/New_York	1959078713987	Massapequa	US
Europe/Paris	1459890395052	Valence	FR
America/Chicago	4177531438964	New City	US
America/New_York	3545930180561	Punta Gorda Isles	US
America/New_York	3399151263127	Norwalk	US
Africa/Gaborone	4029607948085	Tonota	BW
Europe/Paris	0434838969374	Ajaccio	FR
America/New_York	3317345547440	Lebanon	US
Asia/Jakarta	5978195141158	Jambi City	ID
Africa/Freetown	2393925082809	Freetown	SL
Europe/Paris	1659581868906	Rueil-Malmaison	FR
Europe/Moscow	9844522145488	Arzamas	RU
America/Denver	8159561611742	Ken Caryl	US
Africa/Dar_es_Salaam	1637849652054	Chanika	TZ
Europe/London	0479185321192	Arbroath	GB
Asia/Kuala_Lumpur	2168588766164	Gua Musang	MY
Asia/Kolkata	2373656081609	Moga	IN
America/Sao_Paulo	1613606444896	Loanda	BR
America/New_York	6565116869261	Collinwood	US
Pacific/Efate	7122533176083	Port-Vila	VU
Africa/Abidjan	3299369552726	Bonoua	CI
Asia/Tehran	5688618915074	Darreh Shahr	IR
America/New_York	5678342988901	Toledo	US
America/Caracas	7270285767872	Ciudad Guayana	VE
America/New_York	7773561070159	Front Royal	US
Asia/Kolkata	1153906957189	Manjeri	IN
America/Recife	4440086171045	Recife	BR
Africa/Nairobi	7299039665721	Lodwar	KE
Europe/Zurich	6345653121875	Adliswil	CH
Europe/Kiev	2305501829791	Voznesensk	UA
Asia/Kuching	8816999161422	Donggongon	MY
Europe/London	8308748707369	Leyland	GB
Europe/Moscow	9360092309056	Yablonovskiy	RU
Europe/Moscow	6579500874182	Gavrilov-Yam	RU
America/Chicago	8849678714695	Palestine	US
America/New_York	3625038010899	Cypress Hills	US
Asia/Aden	3679122061519	Ataq	YE
Asia/Tokyo	5574921668779	Yamada	JP
Asia/Tokyo	5107836137452	Hita	JP
America/Mexico_City	0702928929554	Zacoalco de Torres	MX
Europe/Rome	7446513330952	San Giuliano Milanese	IT
Asia/Jakarta	3621327855684	Muncar	ID
Europe/Amsterdam	3477334002517	Losser	NL
Europe/London	7138472671091	Cowes	GB
America/Jamaica	4783275322379	New Kingston	JM
Asia/Yekaterinburg	7242529586013	Oktyabr’skiy	RU
Asia/Shanghai	1308212155372	Beidao	CN
Europe/London	2360270253512	Kingston upon Hull	GB
Africa/Johannesburg	4474646293328	Vryheid	ZA
Europe/Berlin	4406081732643	Oberhausen	DE
Europe/Moscow	2949350150912	Kovylkino	RU
America/Bahia	0601861749802	Rio Real	BR
Africa/Casablanca	4024264598567	Temara	MA
America/Los_Angeles	9928559561777	Troutdale	US
Asia/Shanghai	7480573955182	Zaozhuang	CN
America/New_York	2493643482230	Lutz	US
Europe/Brussels	6146659290684	Denderleeuw	BE
Europe/London	5966553792395	Exeter	GB
America/Chicago	2704736935985	San Juan	US
Europe/Lisbon	4496373058018	Albufeira	PT
Europe/London	5424210188191	Belper	GB
Europe/Amsterdam	2581184352669	Losser	NL
America/Fortaleza	1991238639447	Guaraciaba do Norte	BR
Asia/Tokyo	8368409757317	Karatsu	JP
Asia/Kolkata	8167510125035	Puducherry	IN
Africa/Conakry	7461196988566	Camayenne	GN
Asia/Manila	2068600656414	Masbate	PH
Asia/Tokyo	3135246611523	Fujioka	JP
America/Bogota	1784433502162	Honda	CO
Asia/Tokyo	7755207356711	Karatsu	JP
Africa/Douala	1210111398012	Idenao	CM
Asia/Seoul	2873857310701	T’aebaek	KR
America/New_York	9985746833840	Toledo	US
America/Los_Angeles	3551388619751	Redding	US
America/Chicago	1467488284756	Columbia Heights	US
Asia/Tokyo	4968206459496	Nayoro	JP
Asia/Bangkok	8292610662484	Nakhon Pathom	TH
Europe/London	8688072751727	Southsea	GB
Europe/Istanbul	7889000298463	Aksaray	TR
America/New_York	9692763851299	Punta Gorda Isles	US
Europe/Moscow	2872663107475	Kireyevsk	RU
Europe/Moscow	1396023972677	Shushary	RU
Europe/Moscow	1092419618852	Kireyevsk	RU
Europe/London	8955982330411	Rhosllanerchrugog	GB
America/Los_Angeles	9343604951387	Sunnyside	US
Africa/Accra	9335616675054	Mampong	GH
Asia/Riyadh	6806494788561	Al Jubayl	SA
Asia/Dhaka	3787436192079	Kushtia	BD
America/New_York	6558001104547	Bridgeport	US
America/New_York	5389537467551	Clermont	US
Asia/Aden	0975452771672	Ataq	YE
Africa/Nairobi	7416015954406	Lodwar	KE
Europe/Podgorica	8138824837525	Budva	ME
Europe/Rome	2919346291042	Lanciano	IT
Asia/Tokyo	2693143501725	Hita	JP
Australia/Sydney	3255896962384	Baulkham Hills	AU
America/Chicago	8172329265513	Huntley	US
America/New_York	4109770960326	Morningside Heights	US
Europe/Rome	9334269876481	Somma Vesuviana	IT
Europe/Rome	9581522989512	Catania	IT
Africa/Banjul	1427128337969	Farafenni	GM
Europe/Moscow	5956482955770	Volokolamsk	RU
Asia/Shanghai	0890558559231	Laiwu	CN
America/Los_Angeles	7102454252929	Porterville	US
America/Denver	9264071192236	Carlsbad	US
Africa/Kampala	4780653529764	Paidha	UG
Africa/Gaborone	1268321795381	Tonota	BW
America/Bahia	3765897227691	Canavieiras	BR
Europe/Kiev	8811070351396	Krasyliv	UA
Asia/Jakarta	7109229321101	Pekanbaru	ID
America/Matamoros	4401739222484	Heroica Matamoros	MX
Asia/Shanghai	2815412399523	Yanliang	CN
Europe/Skopje	3164907636773	Bogovinje	MK
Europe/Madrid	3487278637065	Palafrugell	ES
Europe/Kiev	2762262668180	Zvenihorodka	UA
Asia/Manila	2740186554192	Sorsogon	PH
Asia/Kolkata	6954553883297	Rangia	IN
America/New_York	3077122503570	Cypress Hills	US
America/Mexico_City	7098658700765	Jocotepec	MX
America/Los_Angeles	7191387561314	Glendale	US
America/Sao_Paulo	3083689723870	Guapimirim	BR
Europe/London	5710738981124	Bushey	GB
America/New_York	4673127417127	Lexington	US
America/Sao_Paulo	7586106495245	Itaperuna	BR
Europe/Berlin	1208443103510	Albstadt	DE
Australia/Sydney	5257903497481	Baulkham Hills	AU
Asia/Manila	2231041925207	Cebu City	PH
Europe/Moscow	2459034391666	Alatyr’	RU
Europe/London	6771446472341	Southsea	GB
America/Sao_Paulo	4548297778265	Itabirito	BR
Europe/London	9420666423967	East Dereham	GB
America/New_York	0601597779081	Far Rockaway	US
Asia/Shanghai	1896866907596	Hushitai	CN
America/Chicago	2028381734138	Copperas Cove	US
Asia/Shanghai	2793734626995	Longgang	CN
Asia/Kolkata	1667737226371	Periyakulam	IN
America/Santarem	9652841579309	Altamira	BR
Asia/Karachi	1893761766211	Kot Addu	PK
America/Jamaica	7974491447268	New Kingston	JM
Asia/Kolkata	0548162171843	Dharmapuri	IN
Asia/Shanghai	2653101628734	Wacheng	CN
America/Chicago	8763846209786	Fairview Heights	US
Asia/Krasnoyarsk	6452236369651	Sharypovo	RU
America/Chicago	2370722058473	Ada	US
Europe/London	5958956481556	Kingston upon Hull	GB
Asia/Kolkata	9291582746153	Gingee	IN
Europe/Berlin	2492096960753	Wesseling	DE
America/Bogota	1375384578360	Madrid	CO
Africa/Banjul	7485831841894	Farafenni	GM
Europe/Rome	3793362360536	Misterbianco	IT
Asia/Shanghai	1975624995737	Pucheng	CN
Asia/Aqtobe	2858008862575	Shalqar	KZ
Asia/Karachi	0188879114926	Sangla Hill	PK
Europe/Oslo	0274460439339	Harstad	NO
Europe/London	7399657737913	Poulton-le-Fylde	GB
Europe/Berlin	5355694239768	Marburg an der Lahn	DE
Africa/Ndjamena	1276831463386	Mongo	TD
Europe/Paris	7450251281735	Dax	FR
Asia/Manila	5582212777475	Tupi	PH
Europe/London	3624801577898	Lower Earley	GB
Europe/Moscow	1516430192431	Kolomyagi	RU
America/Chicago	1842758204458	Muskogee	US
Europe/Vienna	9699127418723	Floridsdorf	AT
America/Indiana/Indianapolis	3774440341944	Greenfield	US
America/Sao_Paulo	2252636547253	Viradouro	BR
